,Male
1594,246678
1595,104932
1596,182746
1597,145324
1598,184659
1599,202998
1600,185948
1601,130129
1602,149523
1603,127525
1604,"67,995"
1605,114474
1606,"84,182"
1607,"74,781"
1608,131369
1609,106412
1610,128508
1611,"96,824"
1612,135036
1613,121815
1614,"74,796"
1615,"84,457"
1616,113448
1617,"55,479"
1618,109050
1619,"76,885"
1620,"50,767"
1621,"98,187"
1622,"68,954"
1623,"88,741"
1624,"47,024"
1625,"54,443"
1626,"83,036"
1627,"55,978"
1628,"84,707"
1629,"67,720"
1630,"48,109"
1631,"77,309"
1632,"42,230"
1633,"70,504"
1634,"69,864"
1635,"67,584"
1636,"21,243"
1637,"61,703"
1638,"41,930"
1639,"42,190"
1640,"51,394"
1641,"56,579"
1642,"29,243"
1643,"50,334"
1644,"44,407"
1645,"36,344"
1646,"15,898"
1647,"41,339"
1648,"27,156"
1649,"35,391"
1650,"43,257"
1651,"17,499"
1652,"21,000"
1653,"32,790"
1654,"37,407"
1655,"23,368"
1656,"38,385"
1657,"17,121"
1658,"43,812"
1659,"20,952"
1660,"28,815"
1661,"36,755"
1662,"39,850"
1663,"38,468"
1664,"37,766"
1665,"32,402"
1666,"31,507"
1667,"27,414"
1668,"33,388"
1669,"30,516"
1670,"20,138"
1671,"15,487"
1672,"26,973"
1673,"16,604"
1674,"35,025"
1675,"18,919"
1676,"17,299"
1677,"38,059"
1678,"24,098"
1679,"23,530"
1680,"22,143"
1681,"23,112"
1682,"25,844"
1683,"27,515"
1684,"20,847"
1685,"25,058"
1686,"21,589"
1687,"22,301"
1688,"13,743"
1689,"11,787"
1690,"10,510"
1691,"26,217"
1692,"15,619"
1693,"27,676"
1694,"23,830"
1695,"17,747"
1696,"16,639"
1697,"22,641"
1698,"12,758"
1699,"12,558"
1700,"17,779"
1701,"16,364"
1702,"15,888"
1703,"19,279"
1704,"17,216"
1705,"18,774"
1706,"16,685"
1707,"8,314"
1708,"12,942"
1709,"17,272"
1710,"14,993"
1711,"11,702"
1712,"13,693"
1713,"14,939"
1714,"19,985"
1715,"16,079"
1716,"15,840"
1717,"14,927"
1718,"8,540"
1719,"15,723"
1720,"10,500"
1721,"10,948"
1722,"15,968"
1723,"18,681"
1724,"17,664"
1725,"14,317"
1726,"16,395"
1727,"8,824"
1728,"18,962"
1729,"13,742"
1730,"15,721"
1731,"17,287"
1732,"14,650"
1733,"16,009"
1734,"11,350"
1735,"13,205"
1736,"11,615"
1737,"14,903"
1738,"10,144"
1739,"13,808"
1740,"11,392"
1741,"10,504"
1742,"9,199"
1743,"9,923"
1744,"12,651"
1745,"12,409"
1746,"15,809"
1747,"9,062"
1748,"13,595"
1749,"10,770"
1750,"7,655"
1751,"14,308"
1752,"11,874"
1753,"12,026"
1754,"9,251"
1755,"9,923"
1756,"10,092"
1757,"10,255"
1758,"5,345"
1759,"12,702"
1760,"8,670"
1761,"11,139"
1762,"11,326"
1763,"9,456"
1764,"6,253"
1765,"10,197"
1766,"1,928"
1767,"10,384"
1768,"9,353"
1769,"7,501"
1770,"6,432"
1771,"7,348"
1772,"6,035"
1773,"10,004"
1774,"6,968"
1775,"9,681"
1776,"10,686"
1777,"6,718"
1778,"9,083"
1779,"7,849"
1780,"6,578"
1781,"6,465"
1782,"5,380"
1783,"4,620"
1784,"4,991"
1785,"8,179"
1786,"8,583"
1787,"9,537"
1788,"3,886"
1789,"6,374"
1790,"6,979"
1791,"7,799"
1792,"7,384"
1793,"8,812"
1794,"8,171"
1795,"6,215"
1796,"6,373"
1797,"7,759"
1798,"7,675"
1799,"6,332"
1800,"6,850"
1801,"6,552"
1802,"6,576"
1803,"5,232"
1804,"5,516"
1805,"5,603"
1806,"5,568"
1807,"3,945"
1808,"5,241"
1809,"7,405"
1810,"3,316"
1811,"5,333"
1812,"5,562"
1813,"5,807"
1814,"3,288"
1815,"5,669"
1816,"4,876"
1817,"6,440"
1818,"5,920"
1819,"5,028"
1820,"5,231"
1821,"4,385"
1822,"4,736"
1823,"6,159"
1824,"3,765"
1825,"4,288"
1826,"5,742"
1827,"2,596"
1828,"3,235"
1829,"4,874"
1830,"4,391"
1831,"4,506"
1832,"5,254"
1833,"2,751"
1834,"3,336"
1835,"5,517"
1836,"4,083"
1837,"5,124"
1838,"3,575"
1839,"3,239"
1840,"3,624"
1841,"4,222"
1842,"4,515"
1843,"3,496"
1844,"4,108"
1845,"4,066"
1846,"3,083"
1847,"3,862"
1848,"4,300"
1849,"4,009"
1850,"3,557"
1851,"2,264"
1852,"3,148"
1853,"2,402"
1854,"2,866"
1855,"3,666"
1856,"2,153"
1857,"3,361"
1858,"2,136"
1859,"3,056"
1860,"2,841"
1861,"3,548"
1862,"2,908"
1863,"3,098"
1864,"3,076"
1865,"3,320"
1866,"2,404"
1867,"3,047"
1868,"2,315"
1869,"2,845"
1870,"3,225"
1871,"3,214"
1872,"2,345"
1873,"2,200"
1874,"2,940"
1875,"1,470"
1876,"3,251"
1877,"3,095"
1878,"2,242"
1879,"1,894"
1880,"3,106"
1881,"2,640"
1882,"3,098"
1883,"1,446"
1884,"2,235"
1885,"2,085"
1886,"2,951"
1887,"2,250"
1888,"1,900"
1889,"2,631"
1890,"2,443"
1891,"1,402"
1892,"2,278"
1893,"2,459"
1894,"2,114"
1895,"1,958"
1896,"2,170"
1897,"2,024"
1898,"1,420"
1899,"2,172"
1900,"1,581"
1901,"1,390"
1902,"1,715"
1903,"2,046"
1904,"1,577"
1905,"1,727"
1906,"1,866"
1907,"1,939"
1908,"1,424"
1909,"1,556"
1910,"1,368"
1911,719
1912,564
1913,"1,704"
1914,"1,274"
1915,"1,492"
1916,"1,397"
1917,"1,528"
1918,"1,464"
1919,"1,603"
1920,"1,383"
1921,"1,510"
1922,"1,167"
1923,"1,233"
1924,"1,181"
1925,"1,156"
1926,"1,233"
1927,"1,072"
1928,964
1929,"1,208"
1930,807
1931,"1,283"
1932,930
1933,"1,037"
1934,"1,228"
1935,874
1936,"1,114"
1937,"1,189"
1938,"1,014"
1939,"1,144"
1940,"1,153"
1941,"1,129"
1942,"1,088"
1943,758
1944,"1,167"
1945,913
1946,576
1947,659
1948,"1,023"
1949,965
1950,793
1951,730
1952,683
1953,712
1954,940
1955,842
1956,784
1957,516891
1958,645236
1959,433589
1960,268726
1961,513891
1962,199330
1963,401739
1964,181696
1965,278090
1966,195957
1967,107210
1968,246736
1969,207691
1970,181714
1971,"94,656"
1972,142204
1973,195958
1974,177261
1975,150608
1976,176367
1977,136248
1978,"97,156"
1979,121072
1980,143192
1981,"81,953"
1982,"61,578"
1983,104853
1984,104782
1985,131093
1986,125112
1987,134480
1988,124011
1989,"63,510"
1990,"82,986"
1991,"76,171"
1992,102081
1993,105562
1994,100733
1995,"47,376"
1996,"53,689"
1997,"44,752"
1998,"52,311"
1999,"61,475"
2000,"41,226"
2001,"72,714"
2002,"67,291"
2003,"76,053"
2004,"40,001"
2005,"72,599"
2006,"70,246"
2007,"66,309"
2008,"44,076"
2009,"60,074"
2010,"61,994"
2011,"19,791"
2012,"36,108"
2013,"50,530"
2014,"46,613"
2015,"37,783"
2016,"37,690"
2017,"27,264"
2018,"49,727"
2019,"16,349"
2020,"45,493"
2021,"34,070"
2022,"39,280"
2023,"27,258"
2024,"33,050"
2025,"39,299"
2026,"35,945"
2027,"44,502"
2028,"37,375"
2029,"34,208"
2030,"20,175"
2031,"34,992"
2032,"38,475"
2033,"28,129"
2034,"16,110"
2035,"34,187"
2036,"27,726"
2037,"33,694"
2038,"36,852"
2039,"40,000"
2040,"27,025"
2041,"29,384"
2042,"34,654"
2043,"29,134"
2044,"13,353"
2045,"34,308"
2046,"17,858"
2047,"18,647"
2048,"17,630"
2049,"27,545"
2050,"31,264"
2051,"23,394"
2052,"13,668"
2053,"12,514"
2054,"23,621"
2055,"22,240"
2056,"21,542"
2057,"25,663"
2058,"24,025"
2059,"12,579"
2060,"26,570"
2061,"21,669"
2062,"16,220"
2063,"12,367"
2064,"25,932"
2065,"18,545"
2066,"26,883"
2067,"19,391"
2068,"15,220"
2069,"23,591"
2070,"21,393"
2071,"11,433"
2072,"12,089"
2073,"19,295"
2074,"12,083"
2075,"13,582"
2076,"21,017"
2077,"8,266"
2078,"14,959"
2079,"15,998"
2080,"18,793"
2081,"19,294"
2082,"13,949"
2083,"17,116"
2084,"9,672"
2085,"14,916"
2086,"10,732"
2087,"10,977"
2088,"19,708"
2089,"14,935"
2090,"17,894"
2091,"15,442"
2092,"19,606"
2093,"15,093"
2094,"12,461"
2095,"10,444"
2096,"15,641"
2097,"12,816"
2098,"17,760"
2099,"10,721"
2100,"12,825"
2101,"17,078"
2102,"11,519"
2103,"14,705"
2104,"14,343"
2105,"10,572"
2106,"12,207"
2107,"12,663"
2108,"14,516"
2109,"12,768"
2110,"14,116"
2111,"12,102"
2112,"15,773"
2113,"10,636"
2114,"11,407"
2115,"13,709"
2116,"7,688"
2117,"14,496"
2118,"6,158"
2119,"7,498"
2120,"10,293"
2121,"11,189"
2122,"5,685"
2123,"13,673"
2124,"9,440"
2125,"9,575"
2126,"11,391"
2127,"9,688"
2128,"8,622"
2129,"2,008"
2130,"11,175"
2131,"7,722"
2132,"9,467"
2133,"11,139"
2134,"9,477"
2135,"7,568"
2136,"9,699"
2137,"5,929"
2138,"10,138"
2139,"11,348"
2140,"9,538"
2141,"8,681"
2142,"4,539"
2143,"9,208"
2144,"10,026"
2145,"8,380"
2146,"9,500"
2147,"5,904"
2148,"8,841"
2149,"5,905"
2150,"6,020"
2151,"5,077"
2152,"7,287"
2153,"8,397"
2154,"6,596"
2155,"6,703"
2156,"5,916"
2157,"5,772"
2158,"6,474"
2159,"6,882"
2160,"7,668"
2161,"7,058"
2162,"7,804"
2163,"6,321"
2164,"3,820"
2165,"5,113"
2166,"4,087"
2167,"7,131"
2168,"5,934"
2169,"6,009"
2170,"5,374"
2171,"6,290"
2172,"5,636"
2173,"5,339"
2174,"7,244"
2175,"7,304"
2176,"5,619"
2177,"5,259"
2178,"5,371"
2179,"5,253"
2180,"2,889"
2181,"7,016"
2182,"3,410"
2183,"3,335"
2184,"6,961"
2185,"5,059"
2186,"5,769"
2187,"4,888"
2188,"4,992"
2189,"6,192"
2190,"5,286"
2191,"5,212"
2192,"4,618"
2193,"5,838"
2194,"5,422"
2195,"3,417"
2196,"3,641"
2197,"3,178"
2198,"4,412"
2199,"3,055"
2200,"4,938"
2201,"4,959"
2202,"3,608"
2203,"3,350"
2204,"2,639"
2205,"3,042"
2206,"4,137"
2207,"4,455"
2208,"4,611"
2209,"4,197"
2210,"3,579"
2211,"3,867"
2212,"4,646"
2213,"3,574"
2214,"4,668"
2215,"3,294"
2216,"3,205"
2217,"3,917"
2218,"3,915"
2219,"3,674"
2220,"4,119"
2221,"3,346"
2222,"3,810"
2223,"3,081"
2224,"3,661"
2225,"3,642"
2226,"2,974"
2227,"1,680"
2228,"3,039"
2229,"3,811"
2230,"3,418"
2231,"3,483"
2232,"3,049"
2233,"3,683"
2234,"1,765"
2235,"2,503"
2236,"2,319"
2237,"3,686"
2238,"3,280"
2239,"3,461"
2240,"3,221"
2241,"3,478"
2242,"2,392"
2243,"3,030"
2244,"3,285"
2245,"2,674"
2246,"2,784"
2247,"2,400"
2248,"3,026"
2249,"2,160"
2250,"2,418"
2251,"2,771"
2252,"2,954"
2253,"1,892"
2254,"3,172"
2255,"1,569"
2256,"2,504"
2257,"2,384"
2258,"2,058"
2259,"2,878"
2260,"2,270"
2261,"2,842"
2262,"2,657"
2263,"2,459"
2264,"1,656"
2265,"1,845"
2266,"1,717"
2267,"1,987"
2268,"1,998"
2269,"1,860"
2270,"2,230"
2271,"2,089"
2272,"1,809"
2273,"2,051"
2274,"2,066"
2275,"1,461"
2276,"1,320"
2277,714
2278,"1,532"
2279,"1,122"
2280,"1,512"
2281,"1,720"
2282,"1,623"
2283,"1,711"
2284,"1,354"
2285,"1,369"
2286,501
2287,883
2288,"1,382"
2289,898
2290,"1,327"
2291,"1,464"
2292,"1,311"
2293,"1,021"
2294,"1,302"
2295,898
2296,"1,263"
2297,650
2298,"1,073"
2299,858
2300,"1,177"
2301,990
2302,850
2303,986
2304,895
2305,822
2306,"1,121"
2307,761
2308,957
2309,"1,103"
2310,"1,137"
2311,903
2312,919
2313,"1,016"
2314,941
2315,892
2316,944
2317,995
2318,759
2319,920
2320,902
2321,515012
2322,582031
2323,418915
2324,269970
2325,546276
2326,196613
2327,391643
2328,186318
2329,279372
2330,191060
2331,101864
2332,274311
2333,239139
2334,171072
2335,174610
2336,"84,447"
2337,106534
2338,131261
2339,187363
2340,138716
2341,166126
2342,135959
2343,164258
2344,159043
2345,121789
2346,"86,038"
2347,147262
2348,126405
2349,135216
2350,"99,836"
2351,117214
2352,114021
2353,"53,119"
2354,102700
2355,103578
2356,"68,791"
2357,"53,118"
2358,"70,461"
2359,"50,275"
2360,"43,638"
2361,"41,248"
2362,"49,257"
2363,"66,134"
2364,"74,351"
2365,"62,540"
2366,"69,250"
2367,"37,658"
2368,"45,170"
2369,"46,795"
2370,"62,806"
2371,"61,435"
2372,"57,218"
2373,"42,332"
2374,"57,945"
2375,"50,022"
2376,"17,800"
2377,"36,561"
2378,"48,149"
2379,"47,303"
2380,"16,502"
2381,"41,390"
2382,"40,307"
2383,"23,259"
2384,"32,487"
2385,"36,873"
2386,"24,369"
2387,"30,467"
2388,"42,115"
2389,"41,492"
2390,"35,462"
2391,"29,906"
2392,"31,129"
2393,"24,210"
2394,"43,146"
2395,"32,056"
2396,"38,938"
2397,"16,412"
2398,"42,399"
2399,"24,357"
2400,"28,044"
2401,"34,270"
2402,"26,667"
2403,"18,608"
2404,"35,552"
2405,"30,124"
2406,"33,939"
2407,"30,743"
2408,"33,386"
2409,"27,445"
2410,"29,907"
2411,"27,004"
2412,"12,689"
2413,"24,058"
2414,"16,624"
2415,"18,821"
2416,"21,996"
2417,"24,675"
2418,"28,304"
2419,"24,510"
2420,"16,650"
2421,"17,102"
2422,"16,543"
2423,"14,514"
2424,"21,284"
2425,"11,605"
2426,"23,687"
2427,"23,011"
2428,"25,918"
2429,"20,353"
2430,"23,231"
2431,"18,478"
2432,"24,269"
2433,"24,650"
2434,"25,787"
2435,"11,767"
2436,"8,939"
2437,"16,872"
2438,"21,369"
2439,"18,059"
2440,"14,819"
2441,"11,373"
2442,"8,129"
2443,"17,668"
2444,"9,859"
2445,"8,260"
2446,"18,281"
2447,"20,722"
2448,"18,595"
2449,"14,273"
2450,"10,760"
2451,"18,500"
2452,"20,026"
2453,"16,607"
2454,"10,730"
2455,"11,509"
2456,"19,061"
2457,"14,930"
2458,"9,224"
2459,"14,235"
2460,"16,780"
2461,"13,270"
2462,"14,633"
2463,"10,701"
2464,"7,490"
2465,"16,239"
2466,"11,327"
2467,"11,678"
2468,"14,388"
2469,"10,478"
2470,"11,900"
2471,"13,181"
2472,"12,227"
2473,"13,459"
2474,"7,561"
2475,"14,479"
2476,"8,225"
2477,"14,801"
2478,"5,684"
2479,"9,828"
2480,"12,981"
2481,"10,351"
2482,"7,519"
2483,"8,368"
2484,"9,676"
2485,"10,484"
2486,"8,591"
2487,"9,406"
2488,"7,885"
2489,"11,214"
2490,"10,975"
2491,"9,698"
2492,"2,032"
2493,"10,302"
2494,"10,007"
2495,"9,440"
2496,"8,589"
2497,"8,806"
2498,"8,761"
2499,"8,413"
2500,"9,536"
2501,"8,064"
2502,"7,523"
2503,"10,072"
2504,"8,551"
2505,"7,626"
2506,"8,692"
2507,"4,221"
2508,"5,462"
2509,"8,301"
2510,"7,532"
2511,"4,966"
2512,"7,590"
2513,"9,600"
2514,"4,725"
2515,"9,372"
2516,"6,689"
2517,"8,511"
2518,"6,186"
2519,"7,043"
2520,"5,397"
2521,"6,019"
2522,"6,677"
2523,"5,683"
2524,"6,435"
2525,"6,050"
2526,"4,128"
2527,"4,554"
2528,"5,753"
2529,"5,467"
2530,"6,755"
2531,"6,618"
2532,"5,623"
2533,"7,408"
2534,"3,952"
2535,"6,164"
2536,"5,198"
2537,"3,478"
2538,"6,642"
2539,"5,693"
2540,"5,359"
2541,"4,474"
2542,"3,237"
2543,"5,814"
2544,"4,816"
2545,"5,948"
2546,"6,428"
2547,"4,770"
2548,"4,988"
2549,"6,409"
2550,"4,456"
2551,"5,150"
2552,"4,121"
2553,"5,266"
2554,"5,274"
2555,"3,744"
2556,"3,656"
2557,"4,509"
2558,"3,375"
2559,"3,055"
2560,"4,515"
2561,"4,601"
2562,"4,555"
2563,"2,923"
2564,"3,978"
2565,"4,759"
2566,"4,833"
2567,"2,473"
2568,"3,361"
2569,"3,305"
2570,"5,120"
2571,"4,474"
2572,"4,921"
2573,"2,021"
2574,"4,529"
2575,"4,283"
2576,"4,599"
2577,"3,799"
2578,"3,637"
2579,"3,799"
2580,"4,290"
2581,"4,240"
2582,"3,341"
2583,"3,121"
2584,"1,961"
2585,"3,681"
2586,"2,899"
2587,"3,971"
2588,"3,576"
2589,"3,708"
2590,"3,837"
2591,"3,025"
2592,"3,669"
2593,"2,894"
2594,"2,597"
2595,"3,662"
2596,"2,967"
2597,"2,421"
2598,"2,606"
2599,"3,185"
2600,"2,492"
2601,"2,891"
2602,"2,900"
2603,"1,742"
2604,"2,309"
2605,"2,530"
2606,"2,577"
2607,"2,599"
2608,"2,797"
2609,"2,814"
2610,"3,125"
2611,"2,384"
2612,"2,722"
2613,"1,820"
2614,"2,534"
2615,"2,354"
2616,"1,920"
2617,"1,821"
2618,"2,578"
2619,"2,240"
2620,"2,221"
2621,"1,464"
2622,"1,881"
2623,"2,266"
2624,"2,423"
2625,"1,862"
2626,"1,852"
2627,"1,830"
2628,"2,289"
2629,"1,593"
2630,"2,142"
2631,"1,990"
2632,"1,481"
2633,703
2634,"1,850"
2635,"1,319"
2636,"1,760"
2637,"1,430"
2638,"1,657"
2639,"1,462"
2640,944
2641,"1,296"
2642,"1,019"
2643,"1,217"
2644,"1,277"
2645,439
2646,"1,055"
2647,674
2648,"1,350"
2649,"1,274"
2650,"1,303"
2651,897
2652,"1,105"
2653,"1,048"
2654,916
2655,"1,249"
2656,867
2657,958
2658,702
2659,"1,068"
2660,762
2661,"1,038"
2662,"1,109"
2663,"1,054"
2664,805
2665,933
2666,753
2667,932
2668,971
2669,730
2670,838
2671,952
2672,911
2673,962
2674,521327
2675,517435
2676,571242
2677,402833
2678,268057
2679,191616
2680,190596
2681,376417
2682,346953
2683,276433
2684,186844
2685,"98,363"
2686,229537
2687,188716
2688,170493
2689,114308
2690,164658
2691,141093
2692,176991
2693,169766
2694,155484
2695,"74,699"
2696,116090
2697,"88,989"
2698,151298
2699,158601
2700,120798
2701,125527
2702,124699
2703,134477
2704,"89,396"
2705,107967
2706,105231
2707,"98,801"
2708,"44,843"
2709,"61,976"
2710,"60,149"
2711,"46,265"
2712,"43,161"
2713,"47,581"
2714,"63,584"
2715,"38,708"
2716,"37,792"
2717,"74,373"
2718,"44,347"
2719,"47,051"
2720,"59,916"
2721,"60,636"
2722,"34,296"
2723,"52,501"
2724,"40,279"
2725,"39,426"
2726,"53,947"
2727,"56,469"
2728,"53,134"
2729,"48,858"
2730,"54,133"
2731,"48,949"
2732,"41,342"
2733,"52,203"
2734,"47,305"
2735,"40,131"
2736,"34,679"
2737,"17,071"
2738,"16,600"
2739,"31,516"
2740,"33,327"
2741,"36,236"
2742,"25,264"
2743,"35,173"
2744,"33,735"
2745,"44,277"
2746,"17,179"
2747,"28,381"
2748,"37,458"
2749,"39,464"
2750,"33,683"
2751,"32,022"
2752,"26,441"
2753,"20,500"
2754,"25,733"
2755,"33,926"
2756,"20,415"
2757,"33,870"
2758,"12,639"
2759,"31,247"
2760,"32,143"
2761,"23,693"
2762,"29,003"
2763,"25,366"
2764,"26,265"
2765,"16,253"
2766,"18,666"
2767,"27,682"
2768,"24,135"
2769,"24,375"
2770,"25,652"
2771,"26,292"
2772,"25,319"
2773,"22,476"
2774,"15,544"
2775,"23,190"
2776,"26,529"
2777,"16,564"
2778,"24,542"
2779,"16,157"
2780,"12,303"
2781,"23,661"
2782,"16,350"
2783,"14,163"
2784,"22,477"
2785,"18,928"
2786,"11,125"
2787,"18,483"
2788,"16,450"
2789,"24,005"
2790,"22,387"
2791,"10,078"
2792,"8,047"
2793,"11,421"
2794,"9,225"
2795,"12,243"
2796,"15,355"
2797,"10,319"
2798,"21,013"
2799,"17,497"
2800,"16,840"
2801,"15,799"
2802,"10,541"
2803,"13,531"
2804,"13,219"
2805,"10,118"
2806,"14,544"
2807,"14,182"
2808,"16,533"
2809,"17,102"
2810,"15,014"
2811,"17,659"
2812,"14,322"
2813,"10,775"
2814,"15,395"
2815,"12,489"
2816,"14,481"
2817,"15,331"
2818,"14,848"
2819,"10,612"
2820,"12,350"
2821,"14,509"
2822,"7,549"
2823,"14,337"
2824,"14,726"
2825,"5,873"
2826,"11,100"
2827,"10,772"
2828,"10,048"
2829,"9,887"
2830,"12,152"
2831,"12,992"
2832,"10,873"
2833,"8,077"
2834,"10,540"
2835,"11,266"
2836,"8,884"
2837,"4,737"
2838,"10,975"
2839,"6,138"
2840,"9,335"
2841,"8,468"
2842,"2,199"
2843,"8,289"
2844,"10,466"
2845,"10,009"
2846,"6,803"
2847,"8,641"
2848,"8,475"
2849,"4,359"
2850,"8,521"
2851,"9,935"
2852,"7,688"
2853,"8,558"
2854,"8,044"
2855,"6,942"
2856,"8,924"
2857,"7,911"
2858,"6,300"
2859,"5,537"
2860,"8,732"
2861,"6,771"
2862,"8,364"
2863,"6,903"
2864,"4,717"
2865,"4,963"
2866,"6,499"
2867,"4,820"
2868,"6,784"
2869,"5,942"
2870,"6,887"
2871,"6,422"
2872,"4,220"
2873,"3,834"
2874,"6,249"
2875,"5,949"
2876,"7,070"
2877,"5,588"
2878,"3,451"
2879,"6,602"
2880,"7,401"
2881,"5,587"
2882,"6,403"
2883,"5,568"
2884,"5,248"
2885,"3,642"
2886,"7,074"
2887,"5,609"
2888,"5,330"
2889,"6,161"
2890,"4,673"
2891,"6,736"
2892,"4,128"
2893,"5,484"
2894,"4,981"
2895,"3,775"
2896,"4,645"
2897,"5,738"
2898,"2,722"
2899,"5,615"
2900,"4,819"
2901,"5,836"
2902,"3,407"
2903,"4,732"
2904,"4,139"
2905,"4,581"
2906,"5,491"
2907,"2,831"
2908,"4,812"
2909,"5,046"
2910,"4,587"
2911,"4,872"
2912,"3,892"
2913,"4,496"
2914,"3,011"
2915,"2,236"
2916,"4,787"
2917,"3,209"
2918,"4,216"
2919,"3,162"
2920,"4,626"
2921,"3,150"
2922,"4,437"
2923,"4,389"
2924,"3,904"
2925,"3,260"
2926,"3,954"
2927,"4,165"
2928,"3,098"
2929,"3,792"
2930,"4,247"
2931,"4,161"
2932,"3,954"
2933,"3,546"
2934,"3,194"
2935,"2,045"
2936,"3,148"
2937,"3,443"
2938,"3,792"
2939,"2,845"
2940,"2,357"
2941,"2,410"
2942,"2,567"
2943,"2,692"
2944,"1,691"
2945,"2,848"
2946,"3,007"
2947,"3,012"
2948,"2,925"
2949,"1,847"
2950,"2,942"
2951,"2,459"
2952,"2,512"
2953,"2,696"
2954,"2,206"
2955,"2,106"
2956,"2,904"
2957,"2,533"
2958,"1,677"
2959,"2,152"
2960,"1,976"
2961,"2,471"
2962,"1,984"
2963,"1,859"
2964,"2,033"
2965,"1,965"
2966,"2,132"
2967,"1,894"
2968,828
2969,"1,505"
2970,"1,934"
2971,706
2972,"1,481"
2973,"1,734"
2974,"1,372"
2975,"1,869"
2976,"1,666"
2977,"1,247"
2978,"1,004"
2979,852
2980,"1,445"
2981,"1,481"
2982,"1,305"
2983,"1,790"
2984,"1,475"
2985,"1,436"
2986,"1,147"
2987,"1,149"
2988,"1,531"
2989,"1,380"
2990,"1,422"
2991,"1,199"
2992,664
2993,"1,450"
2994,"1,131"
2995,"1,369"
2996,"1,389"
2997,"1,455"
2998,973
2999,"1,343"
3000,876
3001,884
3002,871
3003,759
3004,371
3005,704
3006,"1,092"
3007,"1,144"
3008,987
3009,939
3010,"1,056"
3011,911
3012,968
3013,956
3014,777
3015,544298
3016,594332
3017,443988
3018,394540
3019,266957
3020,437946
3021,196565
3022,364900
3023,181333
3024,186102
3025,266914
3026,"95,303"
3027,221092
3028,214515
3029,205295
3030,121971
3031,150576
3032,136760
3033,176616
3034,165503
3035,"92,260"
3036,165597
3037,144603
3038,"67,240"
3039,115766
3040,135634
3041,134273
3042,"97,719"
3043,134862
3044,122403
3045,107929
3046,"83,796"
3047,"97,803"
3048,"92,854"
3049,"54,769"
3050,"40,285"
3051,"54,550"
3052,"72,645"
3053,"42,529"
3054,"45,482"
3055,"52,579"
3056,"59,781"
3057,"66,461"
3058,"66,320"
3059,"69,739"
3060,"48,888"
3061,"52,128"
3062,"33,831"
3063,"43,253"
3064,"32,594"
3065,"41,871"
3066,"33,424"
3067,"33,183"
3068,"31,727"
3069,"51,686"
3070,"49,638"
3071,"49,871"
3072,"53,944"
3073,"38,028"
3074,"46,218"
3075,"36,030"
3076,"43,526"
3077,"50,463"
3078,"48,642"
3079,"39,753"
3080,"36,819"
3081,"17,481"
3082,"43,499"
3083,"46,525"
3084,"17,915"
3085,"33,183"
3086,"14,674"
3087,"28,360"
3088,"32,899"
3089,"30,584"
3090,"35,531"
3091,"33,088"
3092,"31,510"
3093,"29,664"
3094,"29,883"
