,Model
4610,Scorpio
4611,Range
4612,Beetle
4613,A
4614,V70
4615,Concerto
4616,A3
4617,A6
4618,Carisma
4619,Pride
4620,Impreza
4621,Galant
4622,Seicento
4623,Previa
4624,11
4625,Scirocco
4626,Camry
4627,25
4628,Legacy
4629,Space
4630,Samara
4631,Marea
4632,Toledo
4633,Terrano
4634,Capri
4635,Tempra
4636,Espero
4637,9-3X
4638,Z3
4639,Sharan
4640,Serena
4641,XM
4642,Probe
4643,Pony
4644,Maverick
4645,75
4646,Prairie
4647,45
4648,Baleno
4649,911
4650,Cordoba
4651,Octavia
4652,CLK
4653,Neon
4654,Coupe
4655,Justy
4656,SLK
4657,Wagon
4658,Vento
4659,156
4660,121
4661,S-Type
4662,MX-3
4663,505
4664,Fabia
4665,Lupo
4666,SJ
4667,Lancer
4668,09-May
4669,Safrane
4670,Supra
4671,Acclaim
4672,Bora
4673,305
4674,Integra
4675,944
4676,90
4677,Cougar
4678,Alto
4679,XK
4680,Arosa
4681,ML
4682,Sprinter
4683,960
4684,Corrado
4685,Xedos
4686,Alhambra
4687,Marbella
4688,Leganza
4689,9
4690,Boxster
4691,HR-V
4692,Sonata
4693,Mentor
4694,Sportage
4695,Picnic
4696,605
4697,M3
4698,Jimny
4699,TT
4700,Patrol
4701,SLS
4702,Demio
4703,806
4704,Voyager
4705,164
4706,146
4707,Maxima
4708,Elise
4709,Legend
4710,Ulysse
4711,Forester
4712,Cabriolet
4713,S70
4714,Explorer
4715,33
4716,MX-6
4717,145
4718,Manta
4719,155
4720,Terios
4721,Shuttle
4722,Sunny
4723,Spider
4724,Kangoo
4725,S80
4726,Shuma
4727,Samurai
4728,Berlingo
4729,Musso
4730,Stellar
4731,Sirion
4732,126
4733,Silvia
4734,120
4735,Tercel
4736,Croma
4737,640i
4738,Leon
4739,18
4740,Space
4741,Paseo
4742,Viano
4743,Multipla
4744,Cherry
4745,Kadett
4746,Delta
4747,Niva
4748,Premacy
4749,C70
4750,99
4751,928
4752,M550i
4753,A8
4754,TR7
4755,Applause
4756,2000
4757,Logo
4758,PT
4759,Move
4760,Defender
4761,3.6
4762,CRX
4763,850i
4764,Marina
4765,Regata
4766,Carrera
4767,Dedra
4768,Esprit
4769,Quattro
4770,Laurel
4771,Cabriolet
4772,4
4773,130
4774,Barchetta
4775,Thema
4776,DB7
4777,X-90
4778,Stanza
4779,Ital
4780,S2000
4781,S3
4782,Fiesta
4783,Escort
4784,2000
4785,Sierra
4786,Golf
4787,Micra
4788,Mondeo
4789,Polo
4790,Clio
4791,320i
4792,205
4793,306
4794,106
4795,Orion
4796,405
4797,Civic
4798,Corolla
4799,Granada
4800,Megane
4801,AX
4802,Primera
4803,Carina
4804,309
4805,Uno
4806,ZX
4807,Laguna
4808,535i
4809,19
4810,Bluebird
4811,323
4812,Accord
4813,Passat
4814,Saxo
4815,440
4816,Discovery
4817,Xantia
4818,Ka+
4819,80
4820,406
4821,626
4822,CLA
4823,21
4824,900
4825,Almera
4826,Panda
4827,Ibiza
4828,Felicia
4829,Focus
4830,Tipo
4831,190
4832,XJ
4833,206
4834,E
4835,9000
4836,Accent
4837,Vitara
4838,A4
4839,Cinquecento
4840,Favorit
4841,Brava
4842,940
4843,Mini
4844,Espace
4845,850
4846,Celica
4847,MX-5
4848,Starlet
4849,Range
4850,Jetta
4851,100
4852,Galaxy
4853,300
4854,Nexia
4855,Swift
4856,MR2
4857,RAV4
4858,Lantra
4859,Prelude
4860,Colt
4861,11
4862,Xsara
4863,460
4864,Range
4865,740i
4866,25
4867,Bravo
4868,Lanos
4869,Freelander
4870,Scirocco
4871,Concerto
4872,Avensis
4873,Scorpio
4874,Capri
4875,Samara
4876,Galant
4877,S40
4878,Camry
4879,V40
4880,Pride
4881,Puma
4882,Space
4883,Carisma
4884,Previa
4885,Pony
4886,Legacy
4887,Beetle
4888,Impreza
4889,Tempra
4890,Yaris
4891,A3
4892,XM
4893,A6
4894,Espero
4895,Prairie
4896,Toledo
4897,V70
4898,Terrano
4899,Probe
4900,Serena
4901,Maverick
4902,Acclaim
4903,Marea
4904,Seicento
4905,Coupe
4906,505
4907,A
4908,Z3
4909,305
4910,Justy
4911,911
4912,Sharan
4913,Baleno
4914,SJ
4915,Cordoba
4916,9
4917,121
4918,Vento
4919,Lancer
4920,MX-3
4921,Supra
4922,Integra
4923,90
4924,9-3X
4925,Safrane
4926,944
4927,Neon
4928,Corrado
4929,Marbella
4930,960
4931,CLK
4932,SLK
4933,Xedos
4934,Alto
4935,605
4936,XK
4937,Sunny
4938,Octavia
4939,Sonata
4940,Arosa
4941,Manta
4942,Wagon
4943,Sprinter
4944,Mentor
4945,M3
4946,164
4947,Leganza
4948,09-May
4949,33
4950,Alhambra
4951,Patrol
4952,Picnic
4953,Legend
4954,S-Type
4955,SLS
4956,156
4957,120
4958,Maxima
4959,Sportage
4960,Stellar
4961,146
4962,Cougar
4963,Cabriolet
4964,806
4965,18
4966,Ulysse
4967,Elise
4968,Boxster
4969,MX-6
4970,126
4971,Lupo
4972,Silvia
4973,155
4974,Croma
4975,Tercel
4976,Explorer
4977,Cherry
4978,S70
4979,145
4980,Spider
4981,Forester
4982,Shuttle
4983,Voyager
4984,Samurai
4985,ML
4986,Kadett
4987,Musso
4988,Terios
4989,HR-V
4990,Regata
4991,640i
4992,99
4993,Delta
4994,Niva
4995,75
4996,Jimny
4997,Space
4998,2000
4999,Marina
5000,130
5001,Demio
5002,Paseo
5003,TR7
5004,928
5005,Bora
5006,Applause
5007,Cabriolet
5008,Sirion
5009,Stanza
5010,3.6
5011,Laurel
5012,Move
5013,Viano
5014,M550i
5015,Dedra
5016,Defender
5017,Ital
5018,Quattro
5019,Carrera
5020,850i
5021,Esprit
5022,Strada
5023,Thema
5024,CRX
5025,S80
5026,A8
5027,TT
5028,4
5029,Santana
5030,X-90
5031,Berlingo
5032,Double
5033,105
5034,Malaga
5035,Barchetta
5036,Shuma
5037,4
5038,Ascona
5039,Fiesta
5040,Escort
5041,Sierra
5042,2000
5043,Golf
5044,Micra
5045,Polo
5046,Mondeo
5047,205
5048,Orion
5049,Clio
5050,320i
5051,405
5052,106
5053,306
5054,Civic
5055,Granada
5056,Corolla
5057,AX
5058,309
5059,Uno
5060,Carina
5061,Bluebird
5062,Primera
5063,ZX
5064,19
5065,Megane
5066,535i
5067,323
5068,440
5069,Accord
5070,Passat
5071,Laguna
5072,Discovery
5073,80
5074,Xantia
5075,21
5076,626
5077,Panda
5078,Saxo
5079,900
5080,Tipo
5081,190
5082,Ibiza
5083,XJ
5084,CLA
5085,Ka+
5086,9000
5087,406
5088,Felicia
5089,Almera
5090,Favorit
5091,Cinquecento
5092,Vitara
5093,940
5094,E
5095,Mini
5096,Accent
5097,Jetta
5098,11
5099,100
5100,Celica
5101,Espace
5102,Brava
5103,850
5104,Starlet
5105,A4
5106,300
5107,25
5108,Capri
5109,Range
5110,Nexia
5111,Prelude
5112,Range
5113,MR2
5114,Scirocco
5115,Lantra
5116,460
5117,MX-5
5118,Swift
5119,Samara
5120,Colt
5121,RAV4
5122,740i
5123,Concerto
5124,Camry
5125,Galant
5126,Galaxy
5127,Pony
5128,Acclaim
5129,Scorpio
5130,Beetle
5131,Pride
5132,Space
5133,Tempra
5134,Bravo
5135,XM
5136,Prairie
5137,Previa
5138,305
5139,Legacy
5140,505
5141,Espero
5142,9
5143,S40
5144,Coupe
5145,Toledo
5146,Probe
5147,Maverick
5148,Carisma
5149,Impreza
5150,Serena
5151,V40
5152,Justy
5153,Freelander
5154,Xsara
5155,Lanos
5156,SJ
5157,Terrano
5158,Sunny
5159,Avensis
5160,A3
5161,Lancer
5162,911
5163,90
5164,Vento
5165,A6
5166,Integra
5167,121
5168,Supra
5169,Puma
5170,MX-3
5171,Manta
5172,Baleno
5173,944
5174,Sharan
5175,Cordoba
5176,Marbella
5177,206
5178,120
5179,Corrado
5180,Z3
5181,Safrane
5182,V70
5183,960
5184,18
5185,33
5186,605
5187,Neon
5188,Cherry
5189,Stellar
5190,164
5191,Marea
5192,Xedos
5193,Sonata
5194,Mentor
5195,Alto
5196,Patrol
5197,Tercel
5198,126
5199,Silvia
5200,Croma
5201,Regata
5202,XK
5203,M3
5204,Legend
5205,Kadett
5206,SLK
5207,Arosa
5208,SLS
5209,Maxima
5210,Sprinter
5211,MX-6
5212,Seicento
5213,Alhambra
5214,130
5215,Picnic
5216,99
5217,9-3X
5218,Cabriolet
5219,155
5220,Stanza
5221,Samurai
5222,806
5223,Delta
5224,Leganza
5225,Wagon
5226,Marina
5227,Niva
5228,640i
5229,146
5230,Sportage
5231,Ulysse
5232,CLK
5233,2000
5234,Spider
5235,145
5236,Musso
5237,Ital
5238,Shuttle
5239,Cabriolet
5240,Strada
5241,Explorer
5242,Elise
5243,09-May
5244,TR7
5245,Boxster
5246,Laurel
5247,Space
5248,928
5249,Paseo
5250,156
5251,A
5252,S70
5253,Applause
5254,3.6
5255,Focus
5256,Dedra
5257,Octavia
5258,Thema
5259,Forester
5260,Santana
5261,105
5262,Quattro
5263,M550i
5264,Move
5265,Ascona
5266,Defender
5267,Carrera
5268,Esprit
5269,Malaga
5270,Terios
5271,4
5272,850i
5273,4
5274,Voyager
5275,Double
5276,CRX
5277,X-90
5278,Monza
5279,Viano
5280,Fuego
5281,Fiesta
5282,Escort
5283,Sierra
5284,2000
5285,Golf
5286,Micra
5287,Polo
5288,Orion
5289,205
5290,Mondeo
5291,320i
5292,Clio
5293,405
5294,Granada
5295,106
5296,Civic
5297,AX
5298,Uno
5299,306
5300,309
5301,Corolla
5302,Carina
5303,Bluebird
5304,19
5305,ZX
5306,535i
5307,Primera
5308,323
5309,440
5310,Accord
5311,Passat
5312,80
5313,21
5314,Panda
5315,Discovery
5316,626
5317,Xantia
5318,Laguna
5319,Tipo
5320,900
5321,Megane
5322,190
5323,Ibiza
5324,XJ
5325,Favorit
5326,11
5327,9000
5328,Jetta
5329,Cinquecento
5330,CLA
5331,Vitara
5332,Capri
5333,Mini
5334,100
5335,940
5336,Saxo
5337,25
5338,Felicia
5339,Samara
5340,Range
5341,Scirocco
5342,Celica
5343,300
5344,Almera
5345,Espace
5346,Acclaim
5347,Prelude
5348,E
5349,850
5350,Accent
5351,460
5352,MR2
5353,Range
5354,Nexia
5355,406
5356,Starlet
5357,Pony
5358,Colt
5359,Concerto
5360,Swift
5361,Ka+
5362,Camry
5363,740i
5364,Brava
5365,Lantra
5366,Galant
5367,305
5368,A4
5369,Beetle
5370,9
5371,RAV4
5372,Prairie
5373,MX-5
5374,Sunny
5375,Tempra
5376,505
5377,Pride
5378,XM
5379,Space
5380,Scorpio
5381,Previa
5382,Coupe
5383,Galaxy
5384,Manta
5385,Legacy
5386,SJ
5387,120
5388,Justy
5389,Toledo
5390,Maverick
5391,Probe
5392,18
5393,90
5394,Lancer
5395,Cherry
5396,Bravo
5397,Serena
5398,Integra
5399,Vento
5400,Supra
5401,Espero
5402,944
5403,121
5404,Marbella
5405,Impreza
5406,911
5407,Terrano
5408,Regata
5409,33
5410,MX-3
5411,Corrado
5412,Stellar
5413,Carisma
5414,Tercel
5415,126
5416,Kadett
5417,605
5418,960
5419,S40
5420,Croma
5421,Cordoba
5422,Safrane
5423,V40
5424,Silvia
5425,Stanza
5426,130
5427,Baleno
5428,164
5429,A6
5430,Sharan
5431,Patrol
5432,Legend
5433,99
5434,Ital
5435,Sonata
5436,Alto
5437,Marina
5438,Xedos
5439,A3
5440,Mentor
5441,Neon
5442,Strada
5443,Delta
5444,Niva
5445,M3
5446,Z3
5447,2000
5448,MX-6
5449,Cabriolet
5450,640i
5451,Samurai
5452,Maxima
5453,SLS
5454,XK
5455,Sprinter
5456,105
5457,TR7
5458,Cabriolet
5459,Laurel
5460,Puma
5461,Santana
5462,155
5463,V70
5464,Sportage
5465,Ascona
5466,928
5467,806
5468,Spider
5469,Paseo
5470,Thema
5471,3.6
5472,Applause
5473,Space
5474,145
5475,Musso
5476,146
5477,Malaga
5478,Dedra
5479,Alhambra
5480,Picnic
5481,Ulysse
5482,Shuttle
5483,SLK
5484,Quattro
5485,4
5486,M550i
5487,Fuego
5488,Marea
5489,Carrera
5490,Defender
5491,Derby
5492,Esprit
5493,Monza
5494,104
5495,Transit
5496,Prisma
5497,Double
5498,Senator
5499,Explorer
5500,127
5501,200
5502,4
5503,Rekord
5504,929
5505,Lanos
5506,Fiesta
5507,Escort
5508,Sierra
5509,2000
5510,Golf
5511,Micra
5512,Orion
5513,Polo
5514,205
5515,320i
5516,Granada
5517,405
5518,Mondeo
5519,Clio
5520,Uno
5521,309
5522,AX
5523,Corolla
5524,106
5525,Civic
5526,Bluebird
5527,Carina
5528,306
5529,19
5530,ZX
5531,440
5532,535i
5533,323
5534,Accord
5535,Passat
5536,80
5537,Primera
5538,21
5539,Panda
5540,626
5541,Discovery
5542,Tipo
5543,900
5544,190
5545,Ibiza
5546,11
5547,XJ
5548,Capri
5549,Favorit
5550,Jetta
5551,Xantia
5552,9000
5553,Laguna
5554,100
5555,25
5556,Acclaim
5557,Mini
5558,Samara
5559,Scirocco
5560,Vitara
5561,Range
5562,940
5563,Cinquecento
5564,300
5565,Celica
5566,Prelude
5567,CLA
5568,Pony
5569,Espace
5570,460
5571,Sunny
5572,MR2
5573,9
5574,305
5575,Concerto
5576,Camry
5577,Colt
5578,850
5579,740i
5580,Range
5581,Beetle
5582,Swift
5583,E
5584,Galant
5585,505
5586,Starlet
5587,Prairie
5588,Felicia
5589,Megane
5590,Manta
5591,Tempra
5592,Lantra
5593,120
5594,Nexia
5595,Cherry
5596,Pride
5597,18
5598,XM
5599,Space
5600,Accent
5601,Coupe
5602,SJ
5603,Almera
5604,RAV4
5605,MX-5
5606,A4
5607,Regata
5608,Scorpio
5609,Legacy
5610,Justy
5611,Previa
5612,90
5613,Lancer
5614,Toledo
5615,Integra
5616,Probe
5617,Saxo
5618,Maverick
5619,Supra
5620,944
5621,Kadett
5622,Marbella
5623,Stanza
5624,Stellar
5625,33
5626,Tercel
5627,Vento
5628,406
5629,126
5630,130
5631,121
5632,Serena
5633,Galaxy
5634,Corrado
5635,Ital
5636,911
5637,Croma
5638,Silvia
5639,Marina
5640,Brava
5641,605
5642,Strada
5643,Terrano
5644,MX-3
5645,99
5646,960
5647,Espero
5648,164
5649,Impreza
5650,Patrol
5651,Safrane
5652,Cordoba
5653,2000
5654,Delta
5655,Legend
5656,Bravo
5657,Alto
5658,Cabriolet
5659,Niva
5660,105
5661,Sonata
5662,640i
5663,Samurai
5664,Xedos
5665,A6
5666,Ascona
5667,Baleno
5668,Santana
5669,TR7
5670,MX-6
5671,Laurel
5672,M3
5673,Mentor
5674,Carisma
5675,Maxima
5676,Fuego
5677,Malaga
5678,SLS
5679,Thema
5680,928
5681,Sharan
5682,Derby
5683,4
5684,3.6
5685,Sprinter
5686,104
5687,Applause
5688,Cabriolet
5689,Dedra
5690,127
5691,Ka+
5692,Quattro
5693,Space
5694,M550i
5695,Senator
5696,Rekord
5697,Prisma
5698,Monza
5699,Neon
5700,155
5701,Spider
5702,Shuttle
5703,Musso
5704,Carrera
5705,Paseo
5706,Sportage
5707,S40
5708,Esprit
5709,Defender
5710,200
5711,Cressida
5712,929
5713,XK
5714,Double
5715,145
5716,806
5717,V40
5718,Quintet
5719,4
5720,146
5721,Escort
5722,Fiesta
5723,Sierra
5724,2000
5725,Golf
5726,Orion
5727,Micra
5728,205
5729,Polo
5730,Granada
5731,320i
5732,405
5733,Uno
5734,309
5735,Clio
5736,AX
5737,Corolla
5738,Bluebird
5739,Mondeo
5740,Civic
5741,106
5742,19
5743,Carina
5744,323
5745,440
5746,Accord
5747,Panda
5748,535i
5749,ZX
5750,Passat
5751,21
5752,80
5753,306
5754,Primera
5755,626
5756,Tipo
5757,11
5758,Capri
5759,190
5760,900
5761,Discovery
5762,Ibiza
5763,Favorit
5764,Jetta
5765,Acclaim
5766,XJ
5767,Samara
5768,25
5769,100
5770,9000
5771,Scirocco
5772,Mini
5773,Sunny
5774,Range
5775,Xantia
5776,300
5777,Celica
5778,Vitara
5779,9
5780,305
5781,Prelude
5782,940
5783,Pony
5784,MR2
5785,Concerto
5786,460
5787,Laguna
5788,Camry
5789,Beetle
5790,Cinquecento
5791,Cherry
5792,Espace
5793,Manta
5794,Colt
5795,505
5796,120
5797,18
5798,740i
5799,Galant
5800,Prairie
5801,CLA
5802,Swift
5803,Range
5804,Starlet
5805,Tempra
5806,850
5807,Regata
5808,SJ
5809,Pride
5810,XM
5811,Coupe
5812,Space
5813,Stanza
5814,Lantra
5815,E
5816,Kadett
5817,90
5818,Ital
5819,Justy
5820,Lancer
5821,126
5822,Integra
5823,Tercel
5824,130
5825,Legacy
5826,Stellar
5827,Marina
5828,33
5829,Marbella
5830,944
5831,Supra
5832,Previa
5833,MX-5
5834,Toledo
5835,Strada
5836,Croma
5837,Scorpio
5838,Silvia
5839,Vento
5840,99
5841,RAV4
5842,Maverick
5843,Corrado
5844,Probe
5845,121
5846,911
5847,Felicia
5848,2000
5849,Accent
5850,Serena
5851,105
5852,605
5853,Delta
5854,Cabriolet
5855,Alto
5856,MX-3
5857,164
5858,Patrol
5859,Niva
5860,960
5861,Ascona
5862,A4
5863,Nexia
5864,Legend
5865,Terrano
5866,640i
5867,Fuego
5868,Santana
5869,Safrane
5870,Samurai
5871,Sonata
5872,TR7
5873,Derby
5874,104
5875,Impreza
5876,Laurel
5877,127
5878,Malaga
5879,4
5880,Cordoba
5881,Xedos
5882,Rekord
5883,Thema
5884,928
5885,Senator
5886,3.6
5887,MX-6
5888,Applause
5889,Prisma
5890,Maxima
5891,Dedra
5892,A6
5893,Cressida
5894,Monza
5895,Espero
5896,Quattro
5897,M550i
5898,M3
5899,200
5900,Quintet
5901,929
5902,Almera
5903,SLS
5904,Cabriolet
5905,Space
5906,Carrera
5907,Mentor
5908,Esprit
5909,Defender
5910,Sprinter
5911,Galaxy
5912,Double
5913,14
5914,Shuttle
5915,20
5916,Spider
5917,155
5918,Escort
5919,Fiesta
5920,Sierra
5921,2000
5922,Orion
5923,Golf
5924,Micra
5925,205
5926,Polo
5927,Granada
5928,320i
5929,Uno
5930,309
5931,405
5932,Corolla
5933,Bluebird
5934,AX
5935,Clio
5936,Civic
5937,Panda
5938,19
5939,Carina
5940,323
5941,Accord
5942,106
5943,21
5944,Passat
5945,535i
5946,80
5947,440
5948,Mondeo
5949,Capri
5950,ZX
5951,626
5952,11
5953,Acclaim
5954,Tipo
5955,190
5956,900
5957,Jetta
5958,Primera
5959,Samara
5960,Sunny
5961,306
5962,XJ
5963,Ibiza
5964,Favorit
5965,25
5966,100
5967,Scirocco
5968,Discovery
5969,Range
5970,9
5971,305
5972,Mini
5973,9000
5974,Cherry
5975,Celica
5976,300
5977,Pony
5978,Prelude
5979,18
5980,Beetle
5981,Manta
5982,120
5983,Camry
5984,Vitara
5985,505
5986,MR2
5987,Concerto
5988,940
5989,Colt
5990,460
5991,740i
5992,Prairie
5993,Xantia
5994,Starlet
5995,Regata
5996,Espace
5997,Stanza
5998,Galant
5999,Ital
6000,Kadett
6001,Marina
6002,SJ
6003,Swift
6004,Coupe
6005,Tempra
6006,Cinquecento
6007,Range
6008,126
6009,130
6010,Tercel
6011,Strada
6012,XM
6013,Pride
6014,Stellar
6015,90
6016,Space
6017,Lancer
6018,Integra
6019,Justy
6020,33
6021,944
6022,Marbella
6023,850
6024,Supra
6025,CLA
6026,Lantra
6027,99
6028,Laguna
6029,Legacy
6030,Croma
6031,Silvia
6032,2000
6033,105
6034,E
6035,Previa
6036,MX-5
6037,121
6038,Ascona
6039,Cabriolet
6040,Toledo
6041,Delta
6042,911
6043,Fuego
6044,Alto
6045,Derby
6046,Corrado
6047,127
6048,104
6049,Niva
6050,Vento
6051,Patrol
6052,Scorpio
6053,605
6054,Santana
6055,640i
6056,Maverick
6057,TR7
6058,Legend
6059,164
6060,MX-3
6061,Rekord
6062,4
6063,Samurai
6064,Serena
6065,Malaga
6066,Laurel
6067,960
6068,Sonata
6069,Senator
6070,Cressida
6071,Prisma
6072,Thema
6073,14
6074,928
6075,Quintet
6076,Probe
6077,Safrane
6078,3.6
6079,Monza
6080,Applause
6081,Terrano
6082,200
6083,20
6084,Quattro
6085,929
6086,M550i
6087,1200
6088,Dedra
6089,Xedos
6090,504
6091,Impreza
6092,MX-6
6093,Double
6094,Esprit
6095,Carrera
6096,Maxima
6097,Defender
6098,RAV4
6099,Spider
6100,Shuttle
6101,Space
